,time,Air0min,Air0max,T_RDC_PV,Air1min,Air1max,T_1ER_PV,T_Ext_PV,Cloud,T_Depart_PV,EV_3Voies,EV_RDC,EV_1ER,RayM0,RayF0,RayM1,RayF1,date,yday,total_sec,cyclic_yday_cos,cyclic_yday_sin,cyclic_sec_cos,cyclic_sec_sin
0,1674691552000000000,-0.3741496145361152,-1.4676441395910456,-2.5393214443299126,16.5,16.5,12.0,-1.1459956952764,-0.5296046509159107,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 01:05:52,26,3952.0,0.901501684131884,0.4327755925504312,0.9589848060257004,0.2834574779607162
1,1674692453000000000,-0.3741496145361152,-1.4676441395910456,-2.5393214443299126,16.5,16.5,11.5,-1.1459956952764,-0.5296046509159107,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 01:20:53,26,4853.0,0.901501684131884,0.4327755925504312,0.9383674067539028,0.34563942185745455
2,1674693353000000000,-0.3741496145361152,-1.4676441395910456,-2.5393214443299126,16.5,16.5,11.5,-1.1459956952764,0.4873642730368085,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 01:35:53,26,5753.0,0.901501684131884,0.4327755925504312,0.9137523903308752,0.4062715460927728
3,1674694253000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.5,-1.1459956952764,0.4873642730368085,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 01:50:53,26,6653.0,0.901501684131884,0.4327755925504312,0.8852245458906316,0.4651639531957793
4,1674695154000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.5,-1.1459956952764,0.4873642730368085,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 02:05:54,26,7554.0,0.901501684131884,0.4327755925504312,0.8528680661888132,0.5221264805345102
5,1674696055000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.5,-1.3428435143141604,0.4873642730368085,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 02:20:55,26,8455.0,0.901501684131884,0.4327755925504312,0.8168513570850638,0.5768482126420168
6,1674696955000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.5,-1.1459956952764,-0.0981632892389995,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 02:35:55,26,9355.0,0.901501684131884,0.4327755925504312,0.777374737429291,0.6290377712083282
7,1674697855000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.5,-1.3428435143141604,-0.0981632892389995,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 02:50:55,26,10255.0,0.901501684131884,0.4327755925504312,0.7345692798031049,0.6785336934666898
8,1674698755000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.5,-1.1459956952764,-0.0981632892389995,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 03:05:55,26,11155.0,0.901501684131884,0.4327755925504312,0.6886182837476746,0.7251240302792393
9,1674699656000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.5,-1.1459956952764,-0.0981632892389995,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 03:20:56,26,12056.0,0.901501684131884,0.4327755925504312,0.6396626219473407,0.7686557942821048
10,1674700556000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.0,-1.3428435143141604,-0.3138839700774551,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 03:35:56,26,12956.0,0.901501684131884,0.4327755925504312,0.5880205609254247,0.8088459803503687
11,1674701456000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.0,-1.3428435143141604,-0.3138839700774551,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 03:50:56,26,13856.0,0.901501684131884,0.4327755925504312,0.5338605055870669,0.8455725637544783
12,1674702357000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.0,-1.3428435143141604,-0.3138839700774551,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 04:05:57,26,14757.0,0.901501684131884,0.4327755925504312,0.477350477054286,0.8787129918557285
13,1674703258000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.0,-1.3428435143141604,-0.3138839700774551,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 04:20:58,26,15658.0,0.901501684131884,0.4327755925504312,0.4187918171793239,0.9080822726293251
14,1674704158000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.0,-1.3428435143141604,-0.43715293055657256,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 04:35:58,26,16558.0,0.901501684131884,0.4327755925504312,0.35850372952332055,0.933528294117468
15,1674705058000000000,-0.3741496145361152,-1.4676441395910456,-2.709960085877316,16.5,16.5,11.0,-1.3428435143141604,-0.43715293055657256,11.0,0,-1.1455969740053689,0,0.0,0.0,0.0,0.0,2023-01-26 04:50:58,26,17458.0,0.901501684131884,0.4327755925504312,0.2966804738590045,0.954976804132329
